Name,Profession,Dob,picture,notable_work
Jack Nicholson,Actor,1937-4-22,"https://m.media-amazon.com/images/M/MV5BMTQ3OTY0ODk0M15BMl5BanBnXkFtZTYwNzE4Njc4._V1_UY317_CR7,0,214,317_AL__QL50.jpg","Chinatown,As Good as It Gets,One Flew Over the Cuckoo's Nest,The Departed"
Jaime King,Actress,1979-4-23,"https://m.media-amazon.com/images/M/MV5BMjMwNTAyNDIyN15BMl5BanBnXkFtZTgwMzEyMTQ5MzI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","My Bloody Valentine,Sin City,White Chicks,Bulletproof Monk"
Gina Carano,Actress,1982-4-16,"https://m.media-amazon.com/images/M/MV5BODBlMWE0NjctY2EwNC00ZTljLTk4NzQtODM4NDNkZjk2ZGRlXkEyXkFqcGdeQXVyMTk0NDU0OTc@._V1_UY317_CR34,0,214,317_AL__QL50.jpg","Haywire,Fast & Furious 6,Deadpool,Blood and Bone"
Úrsula Corberó,Actress,1989-8-11,"https://m.media-amazon.com/images/M/MV5BYzcyMGU2YmYtN2JjNi00ZTYyLTgxMjMtMWNmMzBkZWU0MjUwXkEyXkFqcGdeQXVyMTIxNzA0MTg@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","Money Heist,The Tree of Blood,Paquita Salas,Cómo sobrevivir a una despedida"
Janet McTeer,Actress,1961-8-5,"https://m.media-amazon.com/images/M/MV5BNzk5MzQ3MDQxOF5BMl5BanBnXkFtZTcwOTU4OTI2Mg@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Albert Nobbs,Me Before You,Tumbleweeds,Maleficent"
Lily James,Actress,1989-4-5,"https://m.media-amazon.com/images/M/MV5BMTgxMjM2NTAyMV5BMl5BanBnXkFtZTgwOTU4NjU2NDE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Cinderella,Pride and Prejudice and Zombies,Mamma Mia! Here We Go Again,Baby Driver"
Natasia Demetriou,Actress,,"https://m.media-amazon.com/images/M/MV5BYTVhMWI1OGMtOWJjMC00Y2JiLTk2NTQtMTBiNTY2OTBmOGVmXkEyXkFqcGdeQXVyMTAwMjcwMTk0._V1_UX214_CR0,0,214,317_AL__QL50.jpg","What We Do in the Shadows,Stath Lets Flats,Pls Like,The Festival"
Sonoya Mizuno,Actress,1986-7-1,"https://m.media-amazon.com/images/M/MV5BNDE0MDliZmQtOGNlOS00MjUzLTllMGYtZGUxZjMxYTY2NTI4XkEyXkFqcGdeQXVyNDg1MjM0ODk@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Ex Machina,La La Land,Maniac,Annihilation"
Cassidy Freeman,Actress,1982-4-22,"https://m.media-amazon.com/images/M/MV5BMTUzOTUzMDY4OF5BMl5BanBnXkFtZTgwNDc3OTU5ODE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Righteous Gemstones,Longmire,Smallville,Doubt"
Olivia Munn,Actress,1980-7-3,"https://m.media-amazon.com/images/M/MV5BMjA2OTMyNTczMV5BMl5BanBnXkFtZTcwNDc5MzIzMw@@._V1_UY317_CR16,0,214,317_AL__QL50.jpg","The Newsroom,X-Men: Apocalypse,The Daily Show with Trevor Noah,Office Christmas Party"
Leonardo DiCaprio,Actor,1974-11-11,"https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY317_CR10,0,214,317_AL__QL50.jpg","Inception,The Departed,The Wolf of Wall Street,Titanic"
Joel McHale,Actor,1971-11-20,"https://m.media-amazon.com/images/M/MV5BMTU2ODA0NzMwNV5BMl5BanBnXkFtZTgwOTA4MDA3NTE@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Community,Deliver Us from Evil,Ted,The Happytime Murders"
Melissa Benoist,Actress,1988-10-4,"https://m.media-amazon.com/images/M/MV5BNWU3MzE1YzgtNzY4ZC00YWJmLTk1Y2MtYTMzYzIxODM3YzQyXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Supergirl,Whiplash,Patriots Day,Danny Collins"
Laura Linney,Actress,1964-2-5,"https://m.media-amazon.com/images/M/MV5BMTMyMDc3Mzc2M15BMl5BanBnXkFtZTcwMjc5OTcyMg@@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","The Big C,The Savages,Kinsey,You Can Count on Me"
Bryce Dallas Howard,Actress,1981-3-2,"https://m.media-amazon.com/images/M/MV5BODEzNzBhODYtOWEzNi00Y2I3LWFjMGEtNzAxNzU5ZjZiMDRiXkEyXkFqcGdeQXVyMjQ0MTg4Nw@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","Jurassic World,The Help,Gold"
Alexandra Daddario,Actress,1986-3-16,"https://m.media-amazon.com/images/M/MV5BMTY3Nzg2NjA1OF5BMl5BanBnXkFtZTgwMjY5NTU1MzI@._V1_UY317_CR10,0,214,317_AL__QL50.jpg","Baywatch,Texas Chainsaw 3D,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson: Sea of Monsters"
Tom Pelphrey,Actor,1982-7-28,"https://m.media-amazon.com/images/M/MV5BYmNmMjkyYzgtNGI2Ny00YTZlLWFkNjQtYmM5ZjUzYzFhZmFlXkEyXkFqcGdeQXVyNzU1OTM4ODE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Ozark,Iron Fist,Banshee,Crazy Alien"
Michael Shannon,Actor,1974-8-7,"https://m.media-amazon.com/images/M/MV5BMjE0NzM5MTc5OF5BMl5BanBnXkFtZTgwMjc3ODYxODE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Shape of Water,Take Shelter,Revolutionary Road,99 Homes"
Britt Robertson,Actress,1990-4-18,"https://m.media-amazon.com/images/M/MV5BMzM3NjAyNTQxOF5BMl5BanBnXkFtZTgwMDU2NDQ1ODE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Tomorrowland,The First Time,Ask Me Anything,The Space Between Us"
Rebecca Ferguson,Actress,1983-10-19,"https://m.media-amazon.com/images/M/MV5BNzA4NDA1MTA5NV5BMl5BanBnXkFtZTcwNjMyNTQ3OA@@._V1_UY317_CR6,0,214,317_AL__QL50.jpg","Mission: Impossible - Rogue Nation,Mission: Impossible - Fallout,Doctor Sleep,Life"
Jason Bateman,Actor,1969-1-14,"https://m.media-amazon.com/images/M/MV5BMTMwOTQ0MDUyNF5BMl5BanBnXkFtZTcwNTQ1MzY1Mw@@._V1_UY317_CR18,0,214,317_AL__QL50.jpg","Arrested Development,Bad Words,Zootopia,Juno"
Timothée Chalamet,Actor,1995-12-27,"https://m.media-amazon.com/images/M/MV5BOWU1Nzg0M2ItYjEzMi00ODliLThkODAtNGEyYzRkZTBmMmEzXkEyXkFqcGdeQXVyNDk2Mzk2NDg@._V1_UY317_CR13,0,214,317_AL__QL50.jpg","Call Me by Your Name,Lady Bird,Beautiful Boy,Little Women"
Betty Gilpin,Actress,1986-7-21,"https://m.media-amazon.com/images/M/MV5BMTY3NDY3NjM5OV5BMl5BanBnXkFtZTgwNTQ0NTUzNjM@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Hunt,Isn't It Romantic,GLOW,Stuber"
Margot Robbie,Actress,1990-7-2,"https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Suicide Squad,The Wolf of Wall Street,I, Tonya,Focus"
Shira Haas,Actress,1995-5-11,"https://m.media-amazon.com/images/M/MV5BN2RjMGNlNDgtMmM5Mi00NTEwLTk1MWItMDZkMGExMmM2ZmQ1XkEyXkFqcGdeQXVyNTQ4MzY4NjA@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","Broken Mirrors,Princess,Pere Atzil,Shtisel"
Evan Rachel Wood,Actress,1987-9-7,"https://m.media-amazon.com/images/M/MV5BMTA2OTM4NDI3NTheQTJeQWpwZ15BbWU3MDA4NzI3Mjc@._V1_UY317_CR4,0,214,317_AL__QL50.jpg","Thirteen,Whatever Works,Westworld,Across the Universe"
Gillian Jacobs,Actress,1982-10-19,"https://m.media-amazon.com/images/M/MV5BMTk5OTc5MTM1OV5BMl5BanBnXkFtZTcwMTU4NDI1NA@@._V1_UY317_CR8,0,214,317_AL__QL50.jpg","Community,Walk of Shame,The Box,Choke"
Jayne Mansfield,Actress,1933-4-19,"https://m.media-amazon.com/images/M/MV5BODkyNTczMjM1OF5BMl5BanBnXkFtZTcwMjQyNzMwNA@@._V1_UY317_CR4,0,214,317_AL__QL50.jpg","The Girl Can't Help It,Will Success Spoil Rock Hunter?,When Strangers Meet,The Loves of Hercules"
Chloe Bennet,Actress,1992-4-18,"https://m.media-amazon.com/images/M/MV5BYjIwYTM3ZDYtNWQ3Mi00YWZkLWI3ZjAtMWMxMzY2YTA5NGMwXkEyXkFqcGdeQXVyNzM4MDIwOTQ@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Agents of S.H.I.E.L.D.,Abominable,Agents of S.H.I.E.L.D.: Slingshot,Valley Girl"
Kenya Barris,Writer,1974-8-9,"https://m.media-amazon.com/images/M/MV5BNTc2NjEzNTA1M15BMl5BanBnXkFtZTgwMjgyMzU3NTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Black-ish,Girls Trip,Grown-ish,Shaft"
Karen Gillan,Actress,1987-11-28,"https://m.media-amazon.com/images/M/MV5BMTQwMDQ0NDk1OV5BMl5BanBnXkFtZTcwNDcxOTExNg@@._V1_UY317_CR2,0,214,317_AL__QL50.jpg","Selfie,Guardians of the Galaxy,Not Another Happy Ending,Avengers: Endgame"
Rhea Seehorn,Actress,,"https://m.media-amazon.com/images/M/MV5BYmE3MGY4M2UtOGViMC00M2E5LWE4ZmEtMDlmOThhNDljNDVhXkEyXkFqcGdeQXVyMjU1MTUxODI@._V1_UY317_CR163,0,214,317_AL__QL50.jpg","Better Call Saul,Veep,The Twilight Zone,Whitney"
Shirley Knight,Actress,1936-7-5,"https://m.media-amazon.com/images/M/MV5BMTgwMzk2ODIyMl5BMl5BanBnXkFtZTYwMTk5Mjc1._V1_UY317_CR10,0,214,317_AL__QL50.jpg","Paul Blart: Mall Cop,As Good as It Gets,Grandma's Boy,Sweet Bird of Youth"
Brad Pitt,Producer,1963-12-18,"https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Ad Astra,Mr. & Mrs. Smith,Moneyball,12 Monkeys"
Rory Culkin,Actor,1989-7-21,"https://m.media-amazon.com/images/M/MV5BMTQyMzk3MzI4MF5BMl5BanBnXkFtZTgwNTc2ODI2MTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","Signs,Mean Creek,You Can Count on Me,Scream 4"
Tom Hardy,Actor,1977-9-15,"https://m.media-amazon.com/images/M/MV5BMTQ3ODEyNjA4Nl5BMl5BanBnXkFtZTgwMTE4ODMyMjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Inception,The Dark Knight Rises,Locke,Mad Max: Fury Road"
Golshifteh Farahani,Actress,1983-7-10,"https://m.media-amazon.com/images/M/MV5BMjA5MDAwMDUzNV5BMl5BanBnXkFtZTgwMjQ4NDE2MDE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Paterson,About Elly,Pirates of the Caribbean: Dead Men Tell No Tales,Body of Lies"
Rashida Jones,Actress,1976-2-25,"https://m.media-amazon.com/images/M/MV5BMjA0ODM2MzQ2NV5BMl5BanBnXkFtZTcwMTAxNTUxOQ@@._V1_UY317_CR4,0,214,317_AL__QL50.jpg","Parks and Recreation,The Social Network,Celeste & Jesse Forever,I Love You, Man"
Vanessa Kirby,Actress,1988-4-18,"https://m.media-amazon.com/images/M/MV5BYzUzNjkwMjMtODRiNi00ZTliLWE3Y2ItMDJmZmFmNjg1YTMyXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR1,0,214,317_AL__QL50.jpg","The Crown,Mission: Impossible - Fallout,A Streetcar Named Desire"
Chris Hemsworth,Actor,1983-8-11,"https://m.media-amazon.com/images/M/MV5BOTU2MTI0NTIyNV5BMl5BanBnXkFtZTcwMTA4Nzc3OA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Avengers,Thor: Ragnarok,Snow White and the Huntsman,Thor"
Jodie Comer,Actress,1993-3-11,"https://m.media-amazon.com/images/M/MV5BZmViMjQxYTUtZDExNy00NjU1LWI4MmEtY2RhODRkMzNkODM1XkEyXkFqcGdeQXVyNjkwNzEwMzY@._V1_UY317_CR56,0,214,317_AL__QL50.jpg","Killing Eve,Free Guy,Star Wars: Episode IX - The Rise of Skywalker,Doctor Foster: A Woman Scorned"
Julia Garner,Actress,1994-2-1,"https://m.media-amazon.com/images/M/MV5BNmU3NDRjMDEtNTQ2Ni00ZGZmLTk3ZjUtODUxMjA2NGY4NDg4XkEyXkFqcGdeQXVyMjQzMDM0NDU@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Martha Marcy May Marlene,Sin City: A Dame to Kill For,Ozark,We Are What We Are"
Amber Heard,Actress,1986-4-22,"https://m.media-amazon.com/images/M/MV5BMjA4NDkyODA3M15BMl5BanBnXkFtZTgwMzUzMjYzNzM@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","Aquaman,The Rum Diary,3 Days to Kill,Drive Angry"
Ana de Armas,Actress,1988-4-30,"https://m.media-amazon.com/images/M/MV5BMjA3NjYzMzE1MV5BMl5BanBnXkFtZTgwNTA4NDY4OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Blade Runner 2049,No Time to Die,Knives Out,Blonde"
Alison Brie,Actress,1982-12-29,"https://m.media-amazon.com/images/M/MV5BMjJkNDg5ZDctM2RlZS00NjFmLTkxZjktMWE5NGQzMDg4NDFhXkEyXkFqcGdeQXVyMTMwMDM1OTQ@._V1_UY317_CR8,0,214,317_AL__QL50.jpg","The Lego Movie,Community,Sleeping with Other People,The Five-Year Engagement"
Taylor Kitsch,Actor,1981-4-8,"https://m.media-amazon.com/images/M/MV5BMTgxNTI3MjcyNV5BMl5BanBnXkFtZTcwNTYwMjAyMg@@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","X-Men Origins: Wolverine,Battleship,John Carter,The Covenant"
Blake Lively,Actress,1987-8-25,"https://m.media-amazon.com/images/M/MV5BMTU2Njk0NTUyNl5BMl5BanBnXkFtZTcwODE0OTgyNw@@._V1_UY317_CR13,0,214,317_AL__QL50.jpg","Gossip Girl,The Age of Adaline,The Town,The Shallows"
Travis Fimmel,Actor,1979-7-15,"https://m.media-amazon.com/images/M/MV5BNzMzNTcwMTkxN15BMl5BanBnXkFtZTgwMTgwMDE1MzI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Warcraft,Vikings,The Baytown Outlaws,Tarzan"
Vanessa Hudgens,Actress,1988-12-14,"https://m.media-amazon.com/images/M/MV5BMjA2NzA2NTMxNV5BMl5BanBnXkFtZTYwMjA1ODEy._V1_UY317_CR105,0,214,317_AL__QL50.jpg","High School Musical 3,Beastly,Spring Breakers,Journey 2: The Mysterious Island"
Sofia Boutella,Actress,1982-4-3,"https://m.media-amazon.com/images/M/MV5BMjU0OTQ5NjQ5NF5BMl5BanBnXkFtZTgwNTk2ODQzNDE@._V1_UY317_CR14,0,214,317_AL__QL50.jpg","Star Trek Beyond,Kingsman: The Secret Service,Hotel Artemis,Atomic Blonde"
Al Pacino,Actor,1940-4-25,"https://m.media-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Serpico,The Godfather,Dog Day Afternoon,Dick Tracy"
Eva Green,Actress,1980-7-6,"https://m.media-amazon.com/images/M/MV5BMTQ0MDA2ODE2Ml5BMl5BanBnXkFtZTcwMjI0Nzc3Nw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Casino Royale,Penny Dreadful,Sin City: A Dame to Kill For,Kingdom of Heaven"
